Depth_BLS	Depth_NAVD	GW_Level	Well_ID
558	-537.06	-11.3	294452095010501
140	-106.78	4.64	294457094510201
499	-475.87	-17.33	294457095044701
346	-199.35	26.45	294514095515501
625	-582.65	-5.32	294536095223201
443	-413.87	-2.7	294548094510501
340	-320.42	2.01	294549094355201
170	-31.56	26.36	294552095502601
40	-18.21	3.59	294557094341701
429	-403.53	-3.82	294558094501601
345	-328.43	3.22	294600094380401
320	-296.3	-8.02	294603094574801
676	-634.28	-6.13	294613095172601
556	-521.06	-1.54	294618094513401
292	-271.19	-1.28	294637094540101
545	-395.13	30.9	294703095513700
609	-476.39	29.36	294704095461601
143	-113.45	3.52	294754094510201
183	-152.69	0.09	294800094510201
175	-142.73	3.74	294801094514001
102	-81.19	-0.36	294804094392901
280	-121.32	28.8	294810095521700
1039	-976.37	-7.0	294811095241901
115	-94.7	-0.52	294816094392401
488	-463.68	4.97	294820094502401
150	-125.99	1.22	294820094503301
125	-99.32	2.34	294825094500601
1232	-1168.25	-0.99	294836095241901
120	-93.38	1.71	294839094494601
100	-63.19	8.17	294914094585501
501	-468.77	4.64	294936094481801
344	-313.22	-0.98	294936094563801
125	-101.3	-2.83	294938094480701
359	-222.45	29.18	294948095441001
58	7.05	17.39	295002095211701
370	-347.86	1.87	295031094482201
23	7.03	3.67	295037094381401
88	-56.45	6.57	295045094574701
94	-64.11	4.84	295051094375501
304	-250.72	-6.01	295125094533701
185	-155.02	6.7	295144094373701
641	-468.1	35.75	295147095533300
767	-589.85	36.98	295213095532101
34	1	7.62	295214094344101
926	-742.23	38.51	295316095541901
239	-98.03	34.28	295416095410801
48	79.88	36.12	295458095371401
333	-301.57	8.36	295653094423200
41	51.79	24.72	295704095250901
72	78.69	41.45	295814095415301
1130	-1031.63	22.81	295836095233301
499	-343.64	42.89	295910095443501
406	-355.89	11.01	295924094354700
740	-651.35	18.18	295944095155803
17	90.52	28.5	300009095253701
142	-24.82	28.28	300027095274801
24	93.18	29.71	300027095274802
556	-440.77	27.72	300045095281101
155	-44.61	25.02	300106095253801
20	90.7	28.8	300107095254001
45	67.27	29.22	300111095253901
22	190.63	58.41	300111095492501
60	155.97	53.64	300115095495201
20.5	85.1	26.49	300117095241101
497	-278.81	52.3	300118095502801
793	-685.59	25.58	300124095241401
1052	-942.28	40.33	300126095241401
21	54.49	17.43	300135095241401
297	-73.03	54.81	300146095510401
399	-316.48	11.44	300254094530800
	263.5	67.18	300302095544301
122	136.23	63.38	300303095532801
211	51.82	68.83	300304095543101
20	243.45	79.23	300315095550101
30	132.66	42.96	300316095364301
30	220.33	73.25	300318095551302
42	226.1	70.59	300322095550501
32	79.82	26.16	300327095253601
23	136.71	43.71	300352095370801
71	208.11	69.68	300356095541201
234	-61.07	45.39	300403095392101
864	-688.66	35.16	300432095375701
365	-242.66	31.8	300438095253801
156	22.41	46.76	300444095401001
34.7	95.91	32.86	300459095261401
33	100.87	32.85	300528095260501
255	-190.02	14.62	300540094384901
60	208.96	75.85	300552095543201
65	109.63	42.25	300707095354801
365	-298.15	12.15	300757094384000
85	13.33	18.69	300833094561700
173	-28.44	36.69	300912095273301
40	121.48	39.95	301031095270501
27	102.17	32.53	301041095262701
90	-45.21	1.46	301054094463200
130	0.41	29.08	301402095093201
33	102.14	32.91	301623095272401
27	150.16	47.2	301707095272201
210	-45.41	49.07	301719095271801
220	1.34	47.96	301843095271401
546	-274.39	56.88	301912095343401
34	157.36	48.49	301913095275201
21	235.04	74.93	302030095281401
18	238.04	74.71	302030095281402
48	217.71	67.49	302103095290201
50	215.71	77.52	302103095290202
110	189.41	65.96	302320095420501
300	7.8	63.34	302716095294101
