dec_long_va	dec_lat_va	GW_Level_NAVD	Well_ID	WellDepth_BLS	WellDepth_NAVD	GWL_Shallow	GWL_Middle	GWL_Deep
-95.5736111	29.8125	-79.7387	294844095342401.0	474.3	-445.5	-59.1	-69.6	-80.1
-95.5044444	29.70444444	-66.7878	294215095301502.0	472.4	-452.9	-45.6	-56.1	-66.6
-95.6080556	29.69638889	-41.6936	294149095363002.0	472.4	-447.6	-20.9	-31.4	-41.9
-95.2241667	29.82583333	-47.5366	294932095132601.0	471.8	-461.2	-25.8	-36.3	-46.8
-95.3375	29.98027778	-57.595	295850095201301.0	470.9	-443.5	-37.0	-47.6	-58.0
-95.3455556	29.98194444	-49.62905	295855095204301.0	469.4	-442.3	-29.2	-39.7	-50.2
-95.5702778	29.8247222	-91.9993	294925095341201.0	465.7	-436.3	-72.0	-82.5	-93.0
-95.1177778	29.835	-50.2752	295005095070301.0	465.4	-453.5	-29.0	-39.5	-50.0
-95.4305556	29.86416667	-55.79365	295150095254601.0	463.3	-437.5	-35.7	-46.2	-56.7
-95.4847222	29.7247222	-55.7479	294328095290402.0	462.7	-443.9	-35.2	-45.7	-56.2
-95.5272222	29.83083333	-77.72399999999999	294950095313702.0	461.2	-433.8	-57.9	-68.4	-78.9
-95.4658333	29.7261111	-52.56125	294333095275602.0	460.2	-442.7	-32.1	-42.6	-53.1
-95.5391667	29.70388889	-40.3586	294213095322001.0	460.2	-439.6	-20.1	-30.6	-41.1
-95.5872222	29.8797222	-59.5	295246095351301.0	459.9	-426.2	-40.2	-50.7	-61.2
-95.4797222	29.725	-58.9605	294329095284602.0	458.7	-440.6	-38.6	-49.1	-59.6
-95.145	29.91388889	-36.35655	295449095084102.0	458.1	-441.7	-15.9	-26.4	-36.9
-95.2152778	29.82527778	-42.6659	294930095125401.0	457.2	-446.5	-21.9	-32.4	-42.9
-95.6186111	29.63694444	-68.46109999999999	293810095370601.0	457.2	-432.5	-48.7	-59.2	-69.7
-95.6838889	29.62805556	-55.46905	293740095410201.0	457.2	-432.3	-35.7	-46.2	-56.7
-95.4683333	29.67916667	-46.1345	294044095280502.0	454.8	-439.0	-25.9	-36.4	-46.9
-95.6988889	29.9961111	-76.1848	295946095415601.0	452.9	-405.1	-58.3	-68.8	-79.3
-95.5272222	29.83083333	-41.609750000000005	294950095313701.0	452.6	-425.3	-22.3	-32.8	-43.3
-95.4513889	29.885	-60.40525	295306095270502.0	451.1	-425.0	-41.2	-51.7	-62.2
-95.58	29.88	-57.3146	295247095344701.0	451.1	-418.3	-38.5	-49.0	-59.5
-95.03065	29.75784167	-23.6662	294527095014911.0	449.6	-442.3	-3.2	-13.7	-24.2
-95.5233333	29.8411111	-77.53960000000001	295027095312301.0	449.6	-422.5	-58.5	-69.0	-79.5
-95.5641667	29.69194444	-89.8672	294119095335601.0	449.6	-427.9	-70.4	-80.9	-91.4
-95.6802778	29.66777778	-61.6793	294004095404901.0	448.1	-419.5	-42.8	-53.3	-63.8
-95.5166667	29.7222222	-44.2524	294319095305901.0	447.8	-427.5	-24.8	-35.3	-45.8
-95.5297222	29.82138889	-73.1566	294916095314601.0	443.2	-416.2	-54.5	-65.0	-75.5
-95.5227778	29.81694444	-42.6507	294900095312101.0	442.3	-416.5	-24.0	-34.5	-45.0
-95.1122222	29.72694444	-46.5155	294336095064301.0	442.0	-435.7	-26.5	-37.0	-47.5
-95.5738889	29.6911111	-69.77325	294127095342502.0	442.0	-420.3	-50.9	-61.4	-71.9
-95.5961111	29.74805556	-78.7527	294452095354501.0	442.0	-418.1	-60.0	-70.5	-81.0
-95.5866667	29.69555556	-44.2021	294144095351002.0	440.4	-418.1	-25.4	-35.9	-46.4
-95.6055556	29.8825	-94.4118	295254095361901.0	440.1	-404.5	-76.6	-87.1	-97.6
-95.6133333	29.88	-95.7194	295249095364701.0	438.3	-402.0	-78.1	-88.6	-99.1
-95.4513889	29.7275	-62.7522	294338095270404.0	436.8	-419.7	-43.9	-54.4	-64.9
-95.52	29.72805556	-56.3453	294340095311103.0	436.5	-415.7	-37.7	-48.2	-58.7
-95.2266667	29.8175	-40.9316	294902095133501.0	435.6	-425.8	-21.6	-32.1	-42.6
-95.6488889	29.73138889	-50.7644	294352095385501.0	432.8	-405.6	-32.9	-43.4	-53.9
-95.7344444	29.6175	-18.07465	293729095440301.0	429.8	-405.4	-0.2	-10.7	-21.2
-95.5788889	29.6961111	-45.6347	294147095344303.0	428.9	-407.1	-27.6	-38.1	-48.6
-96.0255556	29.95277778	36.0517	295709096013101.0	427.9	-374.4	51.8	41.3	30.8
-95.8236111	29.50166667	-16.16505	293006095492501.0	427.3	-398.9	1.3	-9.2	-19.7
-95.7944	29.998	-43.7068	295953095474001.0	426.7	-365.2	-28.6	-39.1	-49.6
-95.4666667	29.5186111	-40.2443	293107095280001.0	426.1	-405.6	-22.4	-32.9	-43.4
-95.4919444	29.72416667	-52.6359	294326095293002.0	425.8	-406.2	-34.7	-45.2	-55.7
-95.6202778	29.6961111	-41.0779	294145095371201.0	424.9	-399.9	-23.6	-34.1	-44.6
-95.6705556	29.78694444	-71.30645000000001	294712095401301.0	424.9	-395.1	-54.1	-64.6	-75.1
-95.0213889	29.5647222	-26.4566	293352095011602.0	420.9	-418.5	-7.7	-18.2	-28.7
-95.0214556	29.56479444	-26.4048	293352095011601.0	420.9	-418.4	-7.6	-18.1	-28.6
-95.2025	29.66583333	-39.1333	293956095120801.0	420.6	-411.2	-20.8	-31.3	-41.8
-95.6405556	29.87888889	-76.1329	295243095383101.0	420.3	-382.8	-59.8	-70.3	-80.8
-95.5780556	29.79333333	-81.18195	294735095344001.0	418.8	-391.4	-64.3	-74.8	-85.3
-95.6202778	29.7122222	-32.1015	294243095371201.0	417.6	-393.0	-15.1	-25.6	-36.1
-95.7377778	29.65583333	-27.8892	293921095441601.0	417.6	-391.2	-11.0	-21.5	-32.0
-95.6325	29.87694444	-90.8853	295240095375601.0	417.3	-380.8	-74.7	-85.2	-95.7
-95.0305556	29.75777778	-31.9766	294527095014912.0	416.1	-408.7	-13.9	-24.4	-34.9
-95.2366667	29.7461111	-40.33115	294445095141101.0	411.5	-403.1	-22.6	-33.1	-43.6
-95.5697222	29.74888889	-58.6222	294456095341101.0	410.0	-387.6	-42.0	-52.5	-63.0
