Longitude	Latitude	Year	GWL_BLS(ft)	Well_Depth_BLS(ft)	LSE_NAVD(ft)	Well_ID	TWEB_ID	Year	mm	dd	yyyy	Decimal_Year		Wee_bottom_NAVD
-94.83972	29.74333	1/1/1939	0.0	634	25.5	294435094502201	6418107	1/1/1939	1	1	1939	1939.00274		-608.5
-94.92667	29.66806	7/1/1939	18.0	93	5.9	294004094553501	6417504	7/1/1939	7	1	1939	1939.50411		-87.1
-94.92389	29.67833	7/1/1939	52.0	429	19.2	294041094552501	6417501	7/1/1939	7	1	1939	1939.50411		-409.8
-94.83806	29.76639	10/1/1939	38.0	429	25.5	294558094501601	6410707	10/1/1939	10	1	1939	1939.754795		-403.5
-95.84083	29.76472	8/11/1932	55.8	170	138.4	294552095502601	6510703	8/11/1932	8	11	1932	1932.615068		-31.6
-95.85028	29.74583	3/24/1931	51.8	172	140.7	294444095510001	6518105	3/24/1931	3	24	1931	1931.232877		-31.4
-95.84833	29.73361	3/24/1931	53.2	628	139.4	294400095505301	26518103	3/24/1931	3	24	1931	1931.232877		-488.6
-95.80889	29.69917	3/24/1931	39.4	250	121.3	294156095483101	6518501	3/24/1931	3	24	1931	1931.232877		-128.7
-95.83306	29.71667	5/1/1926	63.6	586	132.1	294259095495801	6518204	5/1/1926	5	1	1926	1926.336986		-453.9
-95.80972	29.71917	3/24/1931	34.5	545	122.2	294308095483401	6518203	3/24/1931	3	24	1931	1931.232877		-422.8
-95.84528	29.70583	3/24/1931	49.2	723	134.5	294220095504201	6518401	3/24/1931	3	24	1931	1931.232877		-588.5
-95.87306	29.73861	8/25/1931	62.8	337	146.4	294418095522201	6518106	8/25/1931	8	25	1931	1931.653425		-190.6
-95.68861	29.70722	1/1/1932	8.0	260	93.9	294225095411801	6519507	1/1/1932	1	1	1932	1932.00274		-166.1
-95.79944	29.70667	3/18/1933	39.0	250	117.6	294223095475701	6518503	3/18/1933	3	18	1933	1933.216438		-132.4
-95.91972	29.74417	4/1/1936	92.7	334	158.8	294438095551001	6517205	4/1/1936	4	1	1936	1936.253425		-175.2
-95.86556	29.75417	3/15/1939	57.8	346	146.7	294514095515501	6510702	3/15/1939	3	15	1939	1939.208219		-199.4
-95.89389	29.72417	3/15/1939	63.1	596	147.4	294326095533701	6517304	3/15/1939	3	15	1939	1939.208219		-448.6
-95.81139	29.56000	7/15/1905	28.0	298	104.9	293335095484001	6526517	7/15/1905	7	15	1905	1905.542466		-193.2
-95.80778	29.56056	7/24/1913	32.0	351	103.9	293337095482702	6526510	7/24/1913	7	24	1913	1913.567123		-247.1
-95.63389	29.62167	1/1/1920	1.8	1606	74.8	293717095380101	6527312	1/1/1920	1	1	1920	1920.00274		-1531.2
-95.93583	29.54528	1/1/1923	22.0	85	113.6	293242095560801	6525502	1/1/1923	1	1	1923	1923.00274		28.6
-95.87722	29.36278	1/1/1924	20.0	90	80.0	292145095523701	6541301	1/1/1924	1	1	1924	1924.00274		-10.0
-95.48361	29.50472	12/1/1925	18.0	271	66.9	293016095290001	6529703	12/1/1925	12	1	1925	1925.921918		-204.2
-95.76472	29.53056	1/1/1928	20.0	106	92.2	293149095455201	6526902	1/1/1928	1	1	1928	1928.00274		-13.8
-95.79333	29.50722	1/1/1930	20.0	80	88.6	293025095473501	6526802	1/1/1930	1	1	1930	1930.00274		8.6
-95.80833	29.50861	1/1/1930	30.0	85	91.7	293030095482901	6526803	1/1/1930	1	1	1930	1930.00274		6.7
-95.66639	29.61528	10/23/1930	19.0	257	79.8	293654095395801	6527314	10/23/1930	10	23	1930	1930.815068		-177.2
-95.62889	29.57722	6/27/1931	16.0	160	70.0	293437095374301	6527605	6/27/1931	6	27	1931	1931.491781		-90.0
-95.63083	29.57250	7/9/1931	14.3	353	69.9	293420095375001	6527606	7/9/1931	7	9	1931	1931.526027		-283.1
-95.97861	29.70500	9/11/1931	27.4	205	115.5	294217095584201	6517406	9/11/1931	9	11	1931	1931.69863		-89.5
-95.98694	29.47556	1/1/1933	27.0	85	103.9	292831095591201	6533106	1/1/1933	1	1	1933	1933.00274		19.4
-95.85833	29.46472	1/1/1933	16.0	116	95.3	292752095512901	6534102	1/1/1933	1	1	1933	1933.00274		-20.7
-95.80528	29.55889	11/28/1934	41.0	515	103.0	293331095481802	6526516	11/28/1934	11	28	1934	1934.912329		-412.0
-95.44889	29.53861	1/1/1935	35.0	450	71.7	293218095265501	6529801	1/1/1935	1	1	1935	1935.00274		-378.3
-95.76222	29.58306	6/3/1935	28.3	331	90.8	293458095454302	6526604	6/3/1935	6	3	1935	1935.426027		-240.3
-95.90611	29.50167	1/1/1936	20.0	22	110.6	293005095542101	6525906	1/1/1936	1	1	1936	1936.00274		88.6
-95.81278	29.37944	1/1/1936	20.0	24	84.5	292245095484501	6534802	1/1/1936	1	1	1936	1936.00274		60.5
-95.78222	29.42750	1/1/1936	14.0	26	80.3	292538095465501	6534608	1/1/1936	1	1	1936	1936.00274		54.3
-95.77889	29.45750	1/1/1936	11.0	30	75.6	292726095464302	6534605	1/1/1936	1	1	1936	1936.00274		45.6
-95.98444	29.51861	1/1/1936	15.0	32	113.2	293106095590301	6525706	1/1/1936	1	1	1936	1936.00274		81.2
-95.81639	29.41556	1/1/1936	26.0	38	85.8	292455095485801	6534811	1/1/1936	1	1	1936	1936.00274		47.8
-95.74806	29.39750	1/1/1936	18.0	40	67.9	292350095445201	6535706	1/1/1936	1	1	1936	1936.00274		27.9
-95.88722	29.35056	1/1/1936	22.0	48	75.2	292101095531301	6541302	1/1/1936	1	1	1936	1936.00274		27.2
-95.77944	29.57306	1/1/1936	48.8	50	99.2	293422095464501	6526607	1/1/1936	1	1	1936	1936.00274		49.2
-95.99611	29.44917	1/1/1936	20.0	60	96.8	292656095594501	6533402	1/1/1936	1	1	1936	1936.00274		36.8
-95.77889	29.43111	1/1/1936	14.0	67	80.0	292551095464301	6534607	1/1/1936	1	1	1936	1936.00274		13.0
-95.86389	29.53000	1/1/1936	26.0	76	108.8	293147095514901	6526706	1/1/1936	1	1	1936	1936.00274		32.8
-95.96889	29.52861	1/1/1936	35.0	82	112.1	293142095580701	6525708	1/1/1936	1	1	1936	1936.00274		30.1
-95.78083	29.54000	1/1/1936	21.0	82	95.4	293223095465001	6526901	1/1/1936	1	1	1936	1936.00274		13.4
-95.78639	29.56361	1/1/1936	40.0	82	100.0	293348095471001	6526608	1/1/1936	1	1	1936	1936.00274		18.0
-95.87750	29.52444	1/1/1936	24.0	84	109.9	293127095523801	6525902	1/1/1936	1	1	1936	1936.00274		25.9
-95.69306	29.46278	1/1/1936	15.0	85	73.4	292745095413401	6535202	1/1/1936	1	1	1936	1936.00274		-11.6
-95.93639	29.48361	1/1/1936	40.0	86	103.2	292900095561001	6533204	1/1/1936	1	1	1936	1936.00274		17.2
-95.76972	29.58167	1/1/1936	30.0	86	100.4	293453095461001	6526606	1/1/1936	1	1	1936	1936.00274		14.4
-96.00056	29.44694	1/1/1936	30.0	90	99.4	292648096000101	6640602	1/1/1936	1	1	1936	1936.00274		9.4
-95.84111	29.52167	1/1/1936	40.0	90	98.4	293117095502701	6526704	1/1/1936	1	1	1936	1936.00274		8.4
-95.90000	29.50778	1/1/1936	35.0	96	107.8	293027095535901	6525905	1/1/1936	1	1	1936	1936.00274		11.8
-95.81389	29.55556	1/1/1936	23.0	97	102.9	293319095484901	6526508	1/1/1936	1	1	1936	1936.00274		5.9
-95.78278	29.34278	1/1/1936	20.0	100	73.9	292033095465701	6542305	1/1/1936	1	1	1936	1936.00274		-26.1
-95.77917	29.43139	1/1/1936	14.0	100	80.0	292552095464401	6534606	1/1/1936	1	1	1936	1936.00274		-20.0
-95.92111	29.46750	1/1/1936	40.0	100	99.8	292802095551501	6533205	1/1/1936	1	1	1936	1936.00274		-0.2
-95.95139	29.48528	1/1/1936	40.0	100	105.2	292906095570401	6533202	1/1/1936	1	1	1936	1936.00274		5.2
-95.83444	29.39778	1/1/1936	20.0	103	91.0	292351095500301	6534704	1/1/1936	1	1	1936	1936.00274		-12.0
-95.98833	29.54111	1/1/1936	25.0	105	116.6	293227095591701	6525707	1/1/1936	1	1	1936	1936.00274		11.6
-95.89472	29.51333	1/1/1936	30.0	110	108.2	293047095534001	6525904	1/1/1936	1	1	1936	1936.00274		-1.8
-95.90139	29.54889	1/1/1936	38.0	112	110.0	293255095540401	6525603	1/1/1936	1	1	1936	1936.00274		-2.0
-95.84028	29.49333	1/1/1936	30.0	125	89.4	292935095502401	6534104	1/1/1936	1	1	1936	1936.00274		-35.6
-95.81833	29.53111	1/1/1936	35.0	132	95.6	293151095490501	6526804	1/1/1936	1	1	1936	1936.00274		-36.4
-95.86028	29.37833	1/1/1936	20.0	135	84.9	292241095513601	6534707	1/1/1936	1	1	1936	1936.00274		-50.1
-95.75694	29.51278	1/1/1936	25.0	140	83.5	293045095452401	6526903	1/1/1936	1	1	1936	1936.00274		-56.5
-95.61250	29.46917	1/1/1936	20.0	185	69.0	292808095364401	6536104	1/1/1936	1	1	1936	1936.00274		-116.0
-95.59306	29.49889	1/1/1936	20.0	420	64.2	292955095353401	6536102	1/1/1936	1	1	1936	1936.00274		-355.8
-95.97444	29.61972	3/18/1936	32.0	139	125.7	293710095582701	6525103	3/18/1936	3	18	1936	1936.216438		-13.3
-95.95306	29.63417	3/19/1936	52.0	371	129.2	293802095571001	6517805	3/19/1936	3	19	1936	1936.219178		-241.9
-95.70833	29.51389	4/1/1936	40.0	79	77.9	293049095422901	6527801	4/1/1936	4	1	1936	1936.253425		-1.1
-95.65083	29.53111	4/2/1936	17.0	179	75.8	293151095390201	6527904	4/2/1936	4	2	1936	1936.256164		-103.2
-95.91556	29.54806	4/7/1936	34.0	64	114.8	293252095545501	6525601	4/7/1936	4	7	1936	1936.269863		50.8
-95.83222	29.54667	4/8/1936	30.0	82	102.4	293247095495501	6526509	4/8/1936	4	8	1936	1936.272603		20.4
-95.84528	29.53944	4/8/1936	30.0	86	103.7	293221095504201	6526705	4/8/1936	4	8	1936	1936.272603		17.7
-95.84861	29.50722	4/27/1936	35.0	82	99.6	293025095505401	6526703	4/27/1936	4	27	1936	1936.324658		17.6
-95.78889	29.55694	4/27/1936	45.0	82	99.8	293324095471901	6526609	4/27/1936	4	27	1936	1936.324658		17.8
-95.80778	29.55167	4/27/1936	30.0	92	101.0	293305095482701	6526507	4/27/1936	4	27	1936	1936.324658		9.0
-95.95194	29.44750	4/27/1936	21.0	105	95.6	292650095570601	6533507	4/27/1936	4	27	1936	1936.324658		-9.4
-96.00306	29.49694	5/4/1936	28.0	33	109.3	292948096001001	6640309	5/4/1936	5	4	1936	1936.345205		75.9
-95.83833	29.44222	5/6/1936	18.0	52	90.0	292631095501701	6534404	5/6/1936	5	6	1936	1936.350685		38.0
-95.64556	29.38639	5/6/1936	20.0	130	64.2	292310095384301	6535902	5/6/1936	5	6	1936	1936.350685		-65.8
-95.84694	29.35139	5/18/1936	18.9	23	76.6	292104095504801	6542102	5/18/1936	5	18	1936	1936.383562		54.1
-95.98250	29.43111	5/22/1936	14.0	19	89.8	292551095585601	6533404	5/22/1936	5	22	1936	1936.394521		70.8
-95.95417	29.58417	8/1/1937	43.0	236	115.6	293502095571401	6525210	8/1/1937	8	1	1937	1937.587671		-120.4
-95.95361	29.58639	8/1/1937	43.0	244	115.3	293510095571201	6525213	8/1/1937	8	1	1937	1937.587671		-128.7
-95.95028	29.58306	9/1/1937	43.0	214	116.5	293458095570001	6525503	9/1/1937	9	1	1937	1937.671233		-97.5
-95.94917	29.58444	9/1/1937	43.0	247	116.6	293503095565601	6525212	9/1/1937	9	1	1937	1937.671233		-130.4
-95.63500	29.62250	11/1/1938	30.0	733	76.0	293720095380501	6527315	11/1/1938	11	1	1938	1938.838356		-657.0
-95.51056	29.58056	12/6/1938	30.6	297	75.4	293449095303701	6528601	12/6/1938	12	6	1938	1938.935616		-221.6
-95.46528	29.58167	12/6/1938	45.3	665	66.5	293453095275401	6529403	12/6/1938	12	6	1938	1938.935616		-598.5
-95.07472	29.36944	9/23/1932	34.3	855	19.1	292209095042801	6548209	9/23/1932	9	23	1932	1932.731507		-835.9
-95.05278	29.36056	9/23/1932	31.8	796	23.0	6548227--	6548227	9/23/1932	9	23	1932	1932.731507		-773.0
-95.07944	29.36972	9/1/1914	10.0	840	24.6	292210095044501	6548206	9/1/1914	9	1	1914	1914.671233		-815.4
-95.06972	29.36556	1/1/1916	14.0	873	20.0	292155095041001	6548211	1/1/1916	1	1	1916	1916.00274		-853.0
-95.07583	29.36778	11/1/1927	28.5	843	23.7	292203095043201	6548213	11/1/1927	11	1	1927	1927.838356		-819.3
-94.96806	29.37694	4/15/1931	4.2	914	15.0	292236094580401	6433702	4/15/1931	4	15	1931	1931.291781		-899.0
-94.93639	29.37639	11/1/1933	8.0	965	14.0	46433812--	46433812	11/1/1933	11	1	1933	1933.838356		-951.0
-94.94111	29.37667	3/1/1936	18.0	1000	13.3	292235094562701	56433810	3/1/1936	3	1	1936	1936.169863		-986.7
-94.94139	29.37417	4/1/1936	25.0	1024	15.0	66441216--	66441216	4/1/1936	4	1	1936	1936.253425		-1009.0
-94.94139	29.37028	6/1/1937	44.0	1000	15.0	76441208--	76441208	6/1/1937	6	1	1937	1937.420548		-985.0
-94.93389	29.37639	8/1/1933	45.0	610	14.0	86433811--	86433811	8/1/1933	8	1	1933	1933.587671		-596.0
-94.92028	29.37417	5/1/1934	37.0	974	15.0	96441217--	96441217	5/1/1934	5	1	1934	1934.336986		-959.0
-94.93667	29.37000	3/1/1934	40.0	965	15.0	106441218--	106441218	3/1/1934	3	1	1934	1934.169863		-950.0
-94.90472	29.37778	2/22/1939	66.6	801	9.0	6433906--	6433906	2/22/1939	2	22	1939	1939.143836		-792.0
-94.90195	29.38472	10/22/1931	7.2	740	9.0	6433913--	6433913	10/22/1931	10	22	1931	1931.812329		-731.0
-95.09250	29.51111	4/15/1931	25.3	560	15.4	293039095053201	6532714	4/15/1931	4	15	1931	1931.291781		-544.6
-95.02417	29.43667	9/7/1932	15.1	526	17.2	292611095012601	6540602	9/7/1932	9	7	1932	1932.687671		-508.8
-95.05472	29.46445	4/15/1931	13.4	230	12.5	6540215--	6540215	4/15/1931	4	15	1931	1931.291781		-217.5
-95.04417	29.45917	4/15/1931	17.9	750	14.0	6540212--	6540212	4/15/1931	4	15	1931	1931.291781		-736.1
-94.97139	29.38028	4/15/1931	2.2	860	14.4	6433709--	6433709	4/15/1931	4	15	1931	1931.291781		-845.6
-94.93750	29.39583	4/15/1931	6.3	926	9.6	6433813--	6433813	4/15/1931	4	15	1931	1931.291781		-916.4
-95.09417	29.51250	4/15/1931	11.9	1020	15.0	6532725--	6532725	4/15/1931	4	15	1931	1931.291781		-1005.1
-95.21889	29.54083	9/11/1931	38.8	600	32.7	6531705--	6531705	9/11/1931	9	11	1931	1931.69863		-567.3
-95.19167	29.51195	9/11/1931	33.1	763	26.2	6531818--	6531818	9/11/1931	9	11	1931	1931.69863		-736.8
-95.07139	29.45389	9/20/1932	6.7	240	9.3	6540507--	6540507	9/20/1932	9	20	1932	1932.723288		-230.7
-95.04278	29.46806	9/20/1932	14.4	504	15.6	6540210--	6540210	9/20/1932	9	20	1932	1932.723288		-488.4
-94.94972	29.35583	9/21/1932	7.4	117	10.8	6441206--	6441206	9/21/1932	9	21	1932	1932.726027		-106.2
-95.00306	29.34667	9/22/1932	10.9	500	13.5	6548315--	6548315	9/22/1932	9	22	1932	1932.728767		-486.5
-95.01917	29.34750	9/22/1932	12.0	720	16.3	292050095010801	6548302	9/22/1932	9	22	1932	1932.728767		-703.7
-95.05278	29.36056	9/23/1932	11.3	720	19.2	6548228--	6548228	9/23/1932	9	23	1932	1932.731507		-700.8
-95.04083	29.35250	9/23/1932	11.9	720	15.5	6548314--	6548314	9/23/1932	9	23	1932	1932.731507		-704.5
-95.02250	29.33806	10/7/1932	5.0	790	10.1	6548306--	6548306	10/7/1932	10	7	1932	1932.771233		-779.9
-95.22583	29.47222	2/27/1939	43.7	800	36.0	292819095133201	6539101	2/27/1939	2	27	1939	1939.157534		-764.0
-95.43000	29.75778	1/19/1931	46.5	887	56.0	116513824--	116513824	1/19/1931	1	19	1931	1931.052055		-831.0
